"Usina nuclear","Capacidade (MW)","País","Coordenadas geográficas
"
"Usina Nuclear de Kola","1.760","&nbsp;Rússia","67° 28′ 00″ N, 32° 28′ 00″ L
"
"Usina Nuclear de Kori","2.951"," Coreia do Sul","35° 19′ 01″ N, 129° 18′ 00″ L
"
"Usina Nuclear de Kozloduy","3.760","&nbsp;Bulgária","43° 44′ 46″ N, 23° 46′ 14″ L
"
"Usina Nuclear de Krümmel","1.401","&nbsp;Alemanha","53° 24′ 36″ N, 10° 24′ 32″ L
"
"Usina Nuclear de Kuosheng[1]","1.933"," Taiwan","25° 12′ 11″ N, 121° 39′ 46″ L
"
"Usina Nuclear de Kursk","4.000","&nbsp;Rússia","51° 40′ 30″ N, 35° 36′ 20″ L
"
"Usina Nuclear de Laguna Verde","1.300","&nbsp;México","19° 43′ 15″ N, 96° 24′ 23″ O
"
"Usina Nuclear de Leibstadt","1.220"," Suíça","47° 36′ 11″ N, 8° 11′ 05″ L
"
"Usina Nuclear de Lemóniz[2](não chegou a entrar em funcionamento)","1.800"," Espanha","43° 26′ 00″ N, 2° 52′ 21″ O
"
"Usina Nuclear de Leningrado","4.000","&nbsp;Rússia","59° 50′ 50″ N, 29° 02′ 37″ L
"
"Usina Nuclear de Ling Ao","3.900","&nbsp;China","22° 36′ 17,24″ N, 114° 33′ 05,36″ L
"
"Usina Nuclear de Loviisa","1.020","&nbsp;Finlândia","60° 22′ 20″ N, 26° 20′ 50″ L
"
"Usina Nuclear de Lungmen","1.300"," Taiwan","25° 02′ 19″ N, 121° 55′ 27″ L
"
"Usina Nuclear de Maanshan[1]","1.808"," Taiwan","21° 57′ 29″ N, 120° 45′ 06″ L
"
"Usina Nuclear de Mihama","1.666","&nbsp;Japão","35° 42′ 09″ N, 135° 57′ 48″ L
"
"Usina Nuclear de Millstone","2.030","&nbsp;Estados Unidos","41° 18′ 43″ N, 72° 10′ 07″ O
"
"Usina Nuclear de Neckarwestheim","2.235","&nbsp;Alemanha","49° 02′ 30″ N, 9° 10′ 30″ L
"
"Usina Nuclear de Nogent","2.726","&nbsp;França","48° 30′ 55″ N, 3° 31′ 04″ L
"
"Usina Nuclear de Novovoronezh I","1.727","&nbsp;Rússia","51° 16′ 30″ N, 39° 12′ 00″ L
"
"Usina Nuclear de Ōi","4.710","&nbsp;Japão","35° 32′ 26″ N, 135° 39′ 07″ L
"
"Usina Nuclear de Olkiluoto","1.780","&nbsp;Finlândia","61° 14′ 13″ N, 21° 26′ 27″ L
"
"Usina Nuclear de Onagawa","2.174","&nbsp;Japão","38° 24′ 04″ N, 141° 29′ 59″ L
"
"Usina Nuclear de Paks","1.755","&nbsp;Hungria","46° 34′ 21″ N, 18° 51′ 15″ L
"
"Usina Nuclear de Paluel","5.328 (5.528 total)","&nbsp;França","49° 51′ 29″ N, 0° 38′ 08″ L
"
"Usina Nuclear de Penly","2.764","&nbsp;França","49° 58′ 36″ N, 1° 12′ 43″ L
"
"Usina Nuclear de Philippsburg","2.384","&nbsp;Alemanha","49° 15′ 09″ N, 8° 26′ 11″ L
"
"Usina Nuclear de Prairie Island","1.076","&nbsp;Estados Unidos","44° 37′ 18″ N, 92° 37′ 59″ O
"
"Usina Nuclear de Qinshan","2.808","&nbsp;China","30° 26′ 08″ N, 120° 57′ 23″ L
"
"Usina Nuclear de Ringhals","3.662","&nbsp;Suécia","57° 15′ 35″ N, 12° 06′ 39″ L
"
"Usina Nuclear de Rivne","2.645","&nbsp;Ucrânia","51° 19′ 40″ N, 25° 53′ 30″ L
"
"Usina Nuclear de Saint-Laurent","1.912","&nbsp;França","47° 43′ 12″ N, 1° 34′ 39″ L
"
"Usina Nuclear de Salem","2.275","&nbsp;Estados Unidos","39° 27′ 46″ N, 75° 32′ 08″ O
"
"Usina Nuclear de Seabrook Station","1.270","&nbsp;Estados Unidos","42° 53′ 56″ N, 70° 51′ 03″ O
"
"Usina Nuclear de Sendai","1.780","&nbsp;Japão","31° 50′ 01″ N, 130° 11′ 23″ L
"
"Usina Nuclear de Shika","1.898","&nbsp;Japão","37° 03′ 40″ N, 136° 43′ 35″ L
"
"Usina Nuclear de Shimane","1.280","&nbsp;Japão","35° 32′ 18″ N, 132° 59′ 57″ L
"
"Usina Nuclear de Sizewell-B","1.195","&nbsp;Reino Unido","52° 12′ 48″ N, 1° 37′ 07″ L
"
"Usina Nuclear de Smolensk","3.000","&nbsp;Rússia","54° 10′ 09″ N, 33° 14′ 48″ L
"
"Usina Nuclear de South Ukraine","3.000","&nbsp;Ucrânia","47° 49′ 00″ N, 31° 13′ 00″ L
"
"Usina Nuclear de St. Lucie","1.700","&nbsp;Estados Unidos","27° 20′ 55″ N, 80° 14′ 47″ O
"
"Usina Nuclear de Surry","1.600","&nbsp;Estados Unidos","37° 09′ 56″ N, 76° 41′ 52″ O
"
"Usina Nuclear de Takahama","3.304","&nbsp;Japão","35° 31′ 20″ N, 135° 30′ 17″ L
"
"Usina Nuclear de Tarapur","1.400","&nbsp;Índia","19° 49′ 40″ N, 72° 39′ 40″ L
"
"Usina Nuclear de Temelín","1.805","&nbsp;Chéquia","49° 10′ 48″ N, 14° 22′ 34″ L
"
"Usina Nuclear de Tianwan","2.120","&nbsp;China","34° 41′ 13″ N, 119° 27′ 35″ L
"
"Usina Nuclear de Tihange","2.985","&nbsp;Bélgica","50° 32′ 05″ N, 5° 16′ 21″ L
"
"Usina Nuclear de Tōkai","1.266","&nbsp;Japão","36° 27′ 59″ N, 140° 36′ 24″ L
"
"Usina Nuclear de Tomari","2,062","&nbsp;Japão","43° 02′ 10″ N, 140° 30′ 45″ L
"
"Usina Nuclear de Torness","1.364","&nbsp;Reino Unido","55° 58′ 05″ N, 2° 24′ 33″ O
"
"Usina Nuclear de Trillo","1.066"," Espanha","40° 42′ 04″ N, 2° 37′ 19″ O
"
"Usina Nuclear de Tsuruga","1.517","&nbsp;Japão","35° 40′ 22″ N, 136° 04′ 38″ L
"
"Usina Nuclear de Ulchin[3]","5.881"," Coreia do Sul","37° 05′ 34″ N, 129° 23′ 01″ L
"
"Usina Nuclear de Unterweser","1.410","&nbsp;Alemanha","53° 25′ 40″ N, 8° 28′ 49″ L
"
"Usina Nuclear de Vandellòs","1.087"," Espanha","40° 57′ 05″ N, 0° 52′ 00″ L
"
"Usina Nuclear de Vogtle","2.430","&nbsp;Estados Unidos","33° 08′ 35″ N, 81° 45′ 57″ O
"
"Usina Nuclear de Volgodonsk","2.000","&nbsp;Rússia","47° 35′ 58″ N, 42° 22′ 19″ L
"
"Usina Nuclear de Wolseong","2.579","&nbsp;Japão","35° 42′ 40″ N, 129° 28′ 30″ L
"
"Usina Nuclear de Yeonggwang[3]","5.875","&nbsp;Japão","35° 24′ 54″ N, 126° 25′ 26″ L
"
"Usina Nuclear de Zaporizhia","5.700","&nbsp;Ucrânia","47° 30′ 44″ N, 34° 35′ 09″ L
"
"Usina Nuclear Edwin I. Hatch","1.726","&nbsp;Estados Unidos","31° 56′ 03″ N, 82° 20′ 38″ O
"
